name,type,hp,card_type,sub_type,evolves_from,attacks,ex_rule,weaknesses,retreat_cost,artist,card_description,set,id,rarity,pack,versions,image,ability
Potion,,,Trainer/Item,,,,,,,5ban Graphics,,Promo-A,Promo--1,,,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_001_EN_SM.webp,
X Speed,,,Trainer/Item,,,,,,,Toyste Beach,,Promo-A,Promo--2,,,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_002_EN_SM.webp,
Hand Scope,,,Trainer/Item,,,,,,,Toyste Beach,,Promo-A,Promo--3,,,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_003_EN_SM.webp,
Pokédex,,,Trainer/Item,,,,,,,Ryo Ueda,,Promo-A,Promo--4,,,['Promo-A #4'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_004_EN_SM.webp,
Poké Ball,,,Trainer/Item,,,,,,,Ryo Ueda,,Promo-A,Promo--5,,,"['Promo-A #5', 'Shining Revelry #111 Crown Rare']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_005_EN_SM.webp,
Red Card,,,Trainer/Item,,,,,,,5ban Graphics,,Promo-A,Promo--6,,,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_006_EN_SM.webp,
Professor's Research,,,Trainer/Supporter,,,,,,,Naoki Saito,,Promo-A,Promo--7,,,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_007_EN_SM.webp,
Pokédex,,,Trainer/Item,,,,,,,Yuu Nishida,,Promo-A,Promo--8,,,['Promo-A #4'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_008_EN_SM.webp,
Pikachu,Lightning,60,Pokémon,Basic,,"[{'name': 'Gnaw', 'damage': '20', 'energy': ['Electric']}]",,Fighting,1,Atsushi Furusawa,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",Promo-A,Promo--9,,,"['Genetic Apex #94 ◊', 'Promo-A #9', 'Promo-A #15']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_009_EN_SM.webp,
Mewtwo,Psychic,120,Pokémon,Basic,,"[{'name': 'Power Blast', 'damage': '120', 'energy': ['Psychic', 'Psychic', 'Normal', 'Normal'], 'description': 'Discard 2 [P] Energy from this Pokémon.'}]",,Darkness,2,Krgc,It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.,Promo-A,Promo--10,,,['Genetic Apex #128 ◊◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_010_EN_SM.webp,
Chansey,Colorless,120,Pokémon,Basic,,"[{'name': 'Gentle Slap', 'damage': '60', 'energy': ['Normal', 'Normal', 'Normal']}]",,Fighting,3,sowsow,This kindly Pokémon lays highly nutritious eggs and shares them with injured Pokémon or people.,Promo-A,Promo--11,,,['Genetic Apex #202 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_011_EN_SM.webp,
Meowth,Colorless,60,Pokémon,Basic,,"[{'name': 'Pay Day', 'damage': '10', 'energy': ['Normal'], 'description': 'Draw 1 card.'}]",,Fighting,1,Shigenori Negishi,"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.",Promo-A,Promo--12,,,"['Genetic Apex #196 ◊', 'Genetic Apex #246 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_012_EN_SM.webp,
Bulbasaur,Grass,70,Pokémon,Basic,,"[{'name': 'Vine Whip', 'damage': '40', 'energy': ['Grass', 'Normal']}]",,Fire,1,Kouki Saitou,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,Promo-A,Promo--23,,,"['Genetic Apex #1 ◊', 'Genetic Apex #227 ☆', 'Promo-A #23', 'Celestial Guardians #210 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_023_EN_SM.webp,
Magnemite,Lightning,60,Pokémon,Basic,,"[{'name': 'Lightning Ball', 'damage': '20', 'energy': ['Electric']}]",,Fighting,1,Miki Tanaka,"The electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float.",Promo-A,Promo--24,,,['Genetic Apex #97 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_024_EN_SM.webp,
Moltres ex,Fire,140,Pokémon,Basic,,"[{'name': 'Inferno Dance', 'damage': '', 'energy': ['Fire'], 'attack description': 'Flip 3 coins. Take an amount of [R] Energy from your Energy Zone equal to the number of heads and attach it to your Benched [R] Pokémon in any way you like.'}, {'name': 'Heat Blast', 'damage': '70', 'energy': ['Fire', 'Normal', 'Normal'], 'description': 'Flip 3 coins. Take an amount of [R] Energy from your Energy Zone equal to the number of heads and attach it to your Benched [R] Pokémon in any way you like.'}]","ex rule: When your Pokémon ex is Knocked Out, your opponent gets 2 points.",Lightning,2,PLANETA Igarashi,,Promo-A,Promo--25,,,"['Genetic Apex #47 ◊◊◊◊', 'Genetic Apex #255 ☆☆', 'Genetic Apex #274 ☆☆', 'Promo-A #25', 'Eevee Grove #103 ☆☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_025_EN_SM.webp,
Pikachu,Lightning,60,Pokémon,Basic,,"[{'name': 'Gnaw', 'damage': '20', 'energy': ['Electric']}]",,Fighting,1,Kouki Saitou,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",Promo-A,Promo--26,,,"['Genetic Apex #94 ◊', 'Promo-A #9', 'Promo-A #15']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_026_EN_SM.webp,
Snivy,Grass,60,Pokémon,Basic,,"[{'name': 'Tackle', 'damage': '20', 'energy': ['Grass']}]",,Fire,1,Yoriyuki Ikegami,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,Promo-A,Promo--27,,Promo,pack,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_027_EN_SM.webp,
Volcarona,Fire,120,Pokémon,Stage 1,Larvesta,"[{'name': 'Volcanic Ash', 'damage': '', 'energy': ['Fire', 'Fire', 'Normal'], 'description': ""Discard 2 [R] Energy from this Pokémon. This attack does 80 damage to 1 of your opponent's Pokémon.""}]",,Water,2,Shin Nagasawa,"Its burning body causes it to be unpopular in hot parts of the world, but in cold ones, Volcarona is revered as an embodiment of the sun.",Promo-A,Promo--28,,Promo,pack,['Mythical Island #14 ◊◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_028_EN_SM.webp,
Blastoise,Water,150,Pokémon,Stage 2,Wartortle,"[{'name': 'Hydro Pump', 'damage': '80+', 'energy': ['Water', 'Water', 'Normal'], 'description': 'If this Pokémon has at least 2 extra [W] Energy attached, this attack does 60 more damage.'}]",,Lightning,3,danciao,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",Promo-A,Promo--29,,Promo,pack,"['Genetic Apex #55 ◊◊◊', 'Promo-A #29', 'Celestial Guardians #217 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_029_EN_SM.webp,
Eevee,Colorless,60,Pokémon,Basic,,"[{'name': 'Growl', 'damage': '', 'energy': ['Normal'], 'description': ""During your opponent's next turn, attacks used by the Defending Pokémon do −20 damage.""}]",,Fighting,1,En Morikura,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,Promo-A,Promo--30,,Promo,pack,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_030_EN_SM.webp,
Cinccino,Colorless,90,Pokémon,Stage 1,Minccino,"[{'name': 'Do the Wave', 'damage': '30x', 'energy': ['Normal', 'Normal', 'Normal'], 'description': 'This attack does 30 damage for each of your Benched Pokémon.'}]",,Fighting,1,MAHOU,Its body secretes oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won’t tolerate even a speck of the stuff.,Promo-A,Promo--31,,Promo,pack,['Genetic Apex #213 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_031_EN_SM.webp,
Charmander,Fire,60,Pokémon,Basic,,"[{'name': 'Ember', 'damage': '30', 'energy': ['Fire'], 'description': 'Discard a [R] Energy from this Pokémon.'}]",,Water,1,Naoyo Kimura,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",Promo-A,Promo--32,,,"['Genetic Apex #33 ◊', 'Genetic Apex #230 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_032_EN_SM.webp,
Squirtle,Water,60,Pokémon,Basic,,"[{'name': 'Water Gun', 'damage': '20', 'energy': ['Water']}]",,Lightning,1,Kanako Eo,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",Promo-A,Promo--33,,,"['Genetic Apex #53 ◊', 'Genetic Apex #232 ☆', 'Promo-A #33', 'Celestial Guardians #215 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_033_EN_SM.webp,
Piplup,Water,60,Pokémon,Basic,,"[{'name': 'Nap', 'damage': '', 'energy': ['Normal'], 'description': 'Heal 20 damage from this Pokémon.'}]",,Lightning,1,Kariya,It doesn’t like to be taken care of. It’s difficult to bond with since it won’t listen to its Trainer.,Promo-A,Promo--34,,,['Space-Time Smackdown #35 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_034_EN_SM.webp,
Turtwig,Grass,80,Pokémon,Basic,,"[{'name': 'Bite', 'damage': '30', 'energy': ['Grass', 'Normal']}]",,Fire,2,Atsuko Nishida,It uses its whole body to photosynthesize when exposed to sunlight. Its shell is made from hardened soil.,Promo-A,Promo--35,,Promo,pack,['Space-Time Smackdown #10 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_035_EN_SM.webp,
Electivire,Lightning,120,Pokémon,Stage 1,Electabuzz,"[{'name': 'Exciting Voltage', 'damage': '40+', 'energy': ['Electric', 'Electric'], 'description': 'If this Pokémon has at least 2 extra [L] Energy attached, this attack does 80 more damage.'}]",,Fighting,3,Sumiyoshi Kizuki,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.,Promo-A,Promo--36,,Promo,pack,['Space-Time Smackdown #57 ◊◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_036_EN_SM.webp,
Cresselia ex,Psychic,140,Pokémon,Basic,,"[{'name': 'Psychic Flash', 'damage': '80', 'energy': ['Psychic', 'Psychic', 'Normal']}]","ex rule: When your Pokémon ex is Knocked Out, your opponent gets 2 points.",Darkness,2,PLANETA Mochizuki,,Promo-A,Promo--37,,Promo,pack,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_037_EN_SM.webp,"Lunar Plumage: Whenever you attach a [P] Energy from your Energy Zone to this Pokémon, heal 20 damage from this Pokémon."
Misdreavus,Psychic,60,Pokémon,Basic,,"[{'name': 'Confuse Ray', 'damage': '', 'energy': ['Psychic'], 'description': ""Your opponent's Active Pokémon is now Confused.""}]",,Darkness,1,Miki Tanaka,This Pokémon startles people in the middle of the night. It gathers fear as its energy.,Promo-A,Promo--38,,Promo,pack,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_038_EN_SM.webp,
Skarmory,Metal,80,Pokémon,Basic,,"[{'name': 'Metal Arms', 'damage': '20+', 'energy': ['Steel'], 'description': 'If this Pokémon has a Pokémon Tool attached, this attack does 30 more damage.'}]",,Lightning,1,Anesaki Dynamic,"People fashion swords from Skarmory’s shed feathers, so this Pokémon is a popular element in heraldic designs.",Promo-A,Promo--39,,Promo,pack,['Space-Time Smackdown #111 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_039_EN_SM.webp,
Chimchar,Fire,60,Pokémon,Basic,,"[{'name': 'Scratch', 'damage': '20', 'energy': ['Fire']}]",,Water,1,sui,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.,Promo-A,Promo--40,,,['Space-Time Smackdown #27 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_040_EN_SM.webp,
Togepi,Psychic,50,Pokémon,Basic,,"[{'name': 'Pound', 'damage': '20', 'energy': ['Psychic']}]",,Metal,1,Naoyo Kimura,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,Promo-A,Promo--41,,,['Space-Time Smackdown #63 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_041_EN_SM.webp,
Darkrai ex,Darkness,140,Pokémon,Basic,,"[{'name': 'Dark Prism', 'damage': '80', 'energy': ['Dark', 'Dark', 'Normal']}]","ex rule: When your Pokémon ex is Knocked Out, your opponent gets 2 points.",Grass,2,PLANETA Mochizuki,,Promo-A,Promo--42,,,"['Space-Time Smackdown #110 ◊◊◊◊', 'Space-Time Smackdown #187 ☆☆', 'Space-Time Smackdown #202 ☆☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_042_EN_SM.webp,"Nightmare Aura: Whenever you attach a [D] Energy from your Energy Zone to this Pokémon, do 20 damage to your opponent's Active Pokémon."
Cherrim,Grass,80,Pokémon,Stage 1,Cherubi,"[{'name': 'Leech Seed', 'damage': '60', 'energy': ['Grass', 'Grass'], 'description': 'Heal 20 damage from this Pokémon.'}]",,Fire,1,MAHOU,"After absorbing plenty of sunlight, Cherrim takes this form. It’s full of energy while it’s like this, and its liveliness will go on until sundown.",Promo-A,Promo--43,,Promo,pack,['Triumphant Light #8 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_043_EN_SM.webp,
Raichu,Lightning,90,Pokémon,Stage 1,Pikachu,"[{'name': 'Spark', 'damage': '40', 'energy': ['Electric', 'Electric'], 'description': ""This attack also does 20 damage to 1 of your opponent's Benched Pokémon.""}]",,Fighting,1,Kazumasa Yasukuni,"Its tail discharges electricity into the ground, protecting it from getting shocked.",Promo-A,Promo--44,,Promo,pack,['Triumphant Light #26 ◊◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_044_EN_SM.webp,"Resilience Link: If you have Arceus or Arceus ex in play, this Pokémon takes −30 damage from attacks."
Nosepass,Fighting,60,Pokémon,Basic,,"[{'name': 'Iron Defense', 'damage': '', 'energy': ['Normal', 'Normal'], 'description': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.""}]",,Grass,1,Tomokazu Komiya,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second.",Promo-A,Promo--45,,Promo,pack,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_045_EN_SM.webp,
Gible,Fighting,60,Pokémon,Basic,,"[{'name': 'Tackle', 'damage': '20', 'energy': ['N/A']}]",,Grass,1,Uninori,"It skulks in caves, and when prey or an enemy passes by, it leaps out and chomps them. The force of its attack sometimes chips its teeth.",Promo-A,Promo--46,,Promo,pack,['Triumphant Light #45 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_046_EN_SM.webp,
Staraptor,Colorless,140,Pokémon,Stage 2,Staravia,"[{'name': 'Wing Attack', 'damage': '90', 'energy': ['Normal', 'Normal', 'Normal']}]",,Lightning,1,Hasuno,"When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings.",Promo-A,Promo--47,,Promo,pack,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_047_EN_SM.webp,Defensive Whirlwind: This Pokémon takes −30 damage from attacks from [F] Pokémon.
Manaphy,Water,50,Pokémon,Basic,,"[{'name': 'Oceanic Gift', 'damage': '', 'energy': ['Water'], 'description': 'Choose 2 of your Benched Pokémon. For each of those Pokémon, take a [W] Energy from your Energy Zone and attach it to that Pokémon.'}]",,Lightning,1,sui,It is born with a wondrous power that lets it bond with any kind of Pokémon.,Promo-A,Promo--48,,,"['Space-Time Smackdown #50 ◊◊', 'Space-Time Smackdown #162 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_048_EN_SM.webp,
Snorlax,Colorless,140,Pokémon,Basic,,"[{'name': 'Collapse', 'damage': '100', 'energy': ['Normal', 'Normal', 'Normal', 'Normal'], 'description': 'This Pokémon is now Asleep.'}]",,Fighting,4,okayamatakatoshi,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",Promo-A,Promo--49,,,['Triumphant Light #63 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_049_EN_SM.webp,
Mewtwo ex,Psychic,150,Pokémon,Basic,,"[{'name': 'Psychic Sphere', 'damage': '50', 'energy': ['Psychic', 'Normal']}, {'name': 'Psydrive', 'damage': '150', 'energy': ['Psychic', 'Psychic', 'Normal', 'Normal'], 'description': ''}]","ex rule: When your Pokémon ex is Knocked Out, your opponent gets 2 points.",Darkness,2,PLANETA Mochizuki,,Promo-A,,,,"['Genetic Apex #129 ◊◊◊◊', 'Genetic Apex #262 ☆☆', 'Genetic Apex #282 ☆☆☆', 'Genetic Apex #286 Crown Rare']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_050_EN_SM.webp,
Cyclizar,Colorless,80,Pokémon,Basic,,"[{'name': 'Overacceleration', 'damage': '20', 'energy': ['Normal'], 'description': ""During your next turn, this Pokémon's Overacceleration attack does +20 damage.""}]",,Fighting,1,Shigenori Negishi,"Apparently Cyclizar has been allowing people to ride on its back since ancient times. Depictions of this have been found in 10,000-year-old murals.",Promo-A,Promo--51,,,['Shining Revelry #68 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_051_EN_SM.webp,
Sprigatito,Grass,60,Pokémon,Basic,,"[{'name': 'Cry for Help', 'damage': '', 'energy': ['Grass'], 'description': 'Put 1 random [G] Pokémon from your deck into your hand.'}]",,Fire,1,MINAMINAMI Take,Its fluffy fur is similar in composition to plants. This Pokémon frequently washes its face to keep it from drying out.,Promo-A,Promo--52,,,['Shining Revelry #5 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_052_EN_SM.webp,
Floatzel,Water,100,Pokémon,Stage 1,Buizel,"[{'name': 'Attack the Wound', 'damage': '10+', 'energy': ['Water'], 'description': ""If your opponent's Active Pokémon has damage on it, this attack does 60 more damage.""}]",,Lightning,1,Shin Nagasawa,"With its flotation sac inflated, it can carry people on its back. It deflates the sac before it dives.",Promo-A,Promo--53,,Promo,pack,[],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_053_EN_SM.webp,
